"data_bulletin","age","sex","cases"
"17/06/22","18-30","Female",4
"17/06/22","31-40","Female",1
"17/06/22","0-17","Male",1
"17/06/22","18-30","Male",198
"17/06/22","31-40","Male",386
"17/06/22","41-50","Male",212
"17/06/22","51-60","Male",55
"17/06/22","60+","Male",16
"22/06/22","18-30","Female",5
"22/06/22","31-40","Female",4
"22/06/22","51-60","Female",1
"22/06/22","0-17","Male",2
"22/06/22","18-30","Male",419
"22/06/22","31-40","Male",775
"22/06/22","41-50","Male",416
"22/06/22","51-60","Male",119
"22/06/22","60+","Male",28
"29/06/22","0-17","Female",1
"29/06/22","18-30","Female",7
"29/06/22","31-40","Female",4
"29/06/22","51-60","Female",1
"29/06/22","60+","Female",2
"29/06/22","0-17","Male",3
"29/06/22","18-30","Male",728
"29/06/22","31-40","Male",1327
"29/06/22","41-50","Male",703
"29/06/22","51-60","Male",231
"29/06/22","60+","Male",43
"06/07/22","0-17","Female",1
"06/07/22","18-30","Female",9
"06/07/22","31-40","Female",5
"06/07/22","41-50","Female",2
"06/07/22","51-60","Female",2
"06/07/22","60+","Female",2
"06/07/22","0-17","Male",3
"06/07/22","18-30","Male",1193
"06/07/22","31-40","Male",2195
"06/07/22","41-50","Male",1300
"06/07/22","51-60","Male",436
"06/07/22","60+","Male",75
"13/07/22","0-17","Female",2
"13/07/22","18-30","Female",12
"13/07/22","31-40","Female",11
"13/07/22","41-50","Female",4
"13/07/22","51-60","Female",5
"13/07/22","60+","Female",2
"13/07/22","0-17","Male",4
"13/07/22","18-30","Male",1544
"13/07/22","31-40","Male",2842
"13/07/22","41-50","Male",1675
"13/07/22","51-60","Male",599
"13/07/22","60+","Male",112
"20/07/22","0-17","Female",1
"20/07/22","18-30","Female",17
"20/07/22","31-40","Female",14
"20/07/22","41-50","Female",9
"20/07/22","51-60","Female",5
"20/07/22","60+","Female",2
"20/07/22","0-17","Male",5
"20/07/22","18-30","Male",2063
"20/07/22","31-40","Male",3799
"20/07/22","41-50","Male",2274
"20/07/22","51-60","Male",809
"20/07/22","60+","Male",168
"27/07/22","0-17","Female",4
"27/07/22","18-30","Female",29
"27/07/22","31-40","Female",22
"27/07/22","41-50","Female",16
"27/07/22","51-60","Female",9
"27/07/22","60+","Female",2
"27/07/22","0-17","Male",162
"27/07/22","18-30","Male",3087
"27/07/22","31-40","Male",5320
"27/07/22","41-50","Male",3255
"27/07/22","51-60","Male",1266
"27/07/22","60+","Male",393
"03/08/22","0-17","Female",6
"03/08/22","18-30","Female",51
"03/08/22","31-40","Female",40
"03/08/22","41-50","Female",24
"03/08/22","51-60","Female",9
"03/08/22","60+","Female",3
"03/08/22","0-17","Male",20
"03/08/22","18-30","Male",3610
"03/08/22","31-40","Male",6294
"03/08/22","41-50","Male",3790
"03/08/22","51-60","Male",1383
"03/08/22","60+","Male",319
"10/08/22","0-17","Female",9
"10/08/22","18-30","Female",65
"10/08/22","31-40","Female",52
"10/08/22","41-50","Female",30
"10/08/22","51-60","Female",13
"10/08/22","60+","Female",3
"10/08/22","0-17","Male",21
"10/08/22","18-30","Male",4101
"10/08/22","31-40","Male",7008
"10/08/22","41-50","Male",4194
"10/08/22","51-60","Male",1568
"10/08/22","60+","Male",363
"17/08/22","0-17","Female",7
"17/08/22","18-30","Female",67
"17/08/22","31-40","Female",52
"17/08/22","41-50","Female",32
"17/08/22","51-60","Female",14
"17/08/22","60+","Female",4
"17/08/22","0-17","Male",22
"17/08/22","18-30","Male",3757
"17/08/22","31-40","Male",6507
"17/08/22","41-50","Male",3945
"17/08/22","51-60","Male",1487
"17/08/22","60+","Male",330
"24/08/22","0-17","Female",8
"24/08/22","18-30","Female",79
"24/08/22","31-40","Female",63
"24/08/22","41-50","Female",39
"24/08/22","51-60","Female",17
"24/08/22","60+","Female",6
"24/08/22","0-17","Male",27
"24/08/22","18-30","Male",4226
"24/08/22","31-40","Male",7094
"24/08/22","41-50","Male",4315
"24/08/22","51-60","Male",1626
"24/08/22","60+","Male",372
"31/08/22","0-17","Female",14
"31/08/22","18-30","Female",111
"31/08/22","31-40","Female",83
"31/08/22","41-50","Female",49
"31/08/22","51-60","Female",18
"31/08/22","60+","Female",8
"31/08/22","0-17","Male",37
"31/08/22","18-30","Male",5347
"31/08/22","31-40","Male",8646
"31/08/22","41-50","Male",5211
"31/08/22","51-60","Male",1965
"31/08/22","60+","Male",462
"06/09/22","0-17","Female",17
"06/09/22","18-30","Female",123
"06/09/22","31-40","Female",91
"06/09/22","41-50","Female",57
"06/09/22","51-60","Female",19
"06/09/22","60+","Female",7
"06/09/22","0-17","Male",42
"06/09/22","18-30","Male",5607
"06/09/22","31-40","Male",9006
"06/09/22","41-50","Male",5413
"06/09/22","51-60","Male",2043
"06/09/22","60+","Male",489
"14/09/22","0-17","Female",18
"14/09/22","18-30","Female",130
"14/09/22","31-40","Female",101
"14/09/22","41-50","Female",61
"14/09/22","51-60","Female",20
"14/09/22","60+","Female",9
"14/09/22","0-17","Male",44
"14/09/22","18-30","Male",5782
"14/09/22","31-40","Male",9200
"14/09/22","41-50","Male",5570
"14/09/22","51-60","Male",2089
"14/09/22","60+","Male",509
"21/09/22","0-17","Female",18
"21/09/22","18-30","Female",148
"21/09/22","31-40","Female",103
"21/09/22","41-50","Female",67
"21/09/22","51-60","Female",19
"21/09/22","60+","Female",9
"21/09/22","0-17","Male",50
"21/09/22","18-30","Male",5923
"21/09/22","31-40","Male",9367
"21/09/22","41-50","Male",5660
"21/09/22","51-60","Male",2136
"21/09/22","60+","Male",516
