"count","Date of Notification","Cases"
"1","2022-03-07","1"
"1","2022-05-05","1"
"1","2022-05-06","1"
"2","2022-05-09","2"
"1","2022-05-10","1"
"1","2022-05-11","1"
"2","2022-05-12","2"
"1","2022-05-13","1"
"4","2022-05-14","4"
"4","2022-05-15","4"
"9","2022-05-16","9"
"17","2022-05-17","17"
"43","2022-05-18","43"
"42","2022-05-19","42"
"59","2022-05-20","59"
"14","2022-05-21","14"
"10","2022-05-22","10"
"50","2022-05-23","50"
"66","2022-05-24","66"
"72","2022-05-25","72"
"63","2022-05-26","63"
"78","2022-05-27","78"
"21","2022-05-28","21"
"27","2022-05-29","27"
"85","2022-05-30","85"
"90","2022-05-31","90"
"97","2022-06-01","97"
"86","2022-06-02","86"
"78","2022-06-03","78"
"42","2022-06-04","42"
"15","2022-06-05","15"
"83","2022-06-06","83"
"181","2022-06-07","181"
"119","2022-06-08","119"
"153","2022-06-09","153"
"169","2022-06-10","169"
"40","2022-06-11","40"
"39","2022-06-12","39"
"229","2022-06-13","229"
"190","2022-06-14","190"
"249","2022-06-15","249"
"245","2022-06-16","245"
"275","2022-06-17","275"
"67","2022-06-18","67"
"37","2022-06-19","37"
"310","2022-06-20","310"
"344","2022-06-21","344"
"324","2022-06-22","324"
"329","2022-06-23","329"
"357","2022-06-24","357"
"50","2022-06-25","50"
"56","2022-06-26","56"
"379","2022-06-27","379"
"365","2022-06-28","365"
"345","2022-06-29","345"
"382","2022-06-30","382"
"420","2022-07-01","420"
"80","2022-07-02","80"
"62","2022-07-03","62"
"460","2022-07-04","460"
"432","2022-07-05","432"
"354","2022-07-06","354"
"556","2022-07-07","556"
"421","2022-07-08","421"
"92","2022-07-09","92"
"57","2022-07-10","57"
"526","2022-07-11","526"
"522","2022-07-12","522"
"538","2022-07-13","538"
"347","2022-07-14","347"
"420","2022-07-15","420"
"116","2022-07-16","116"
"47","2022-07-17","47"
"581","2022-07-18","581"
"449","2022-07-19","449"
"440","2022-07-20","440"
"399","2022-07-21","399"
"447","2022-07-22","447"
"82","2022-07-23","82"
"45","2022-07-24","45"
"401","2022-07-25","401"
"455","2022-07-26","455"
"425","2022-07-27","425"
"425","2022-07-28","425"
"448","2022-07-29","448"
"73","2022-07-30","73"
"42","2022-07-31","42"
"402","2022-08-01","402"
"385","2022-08-02","385"
"405","2022-08-03","405"
"352","2022-08-04","352"
"314","2022-08-05","314"
"50","2022-08-06","50"
"35","2022-08-07","35"
"354","2022-08-08","354"
"279","2022-08-09","279"
"287","2022-08-10","287"
"250","2022-08-11","250"
"182","2022-08-12","182"
"52","2022-08-13","52"
"22","2022-08-14","22"
"93","2022-08-15","93"
"185","2022-08-16","185"
"173","2022-08-17","173"
"138","2022-08-18","138"
"101","2022-08-19","101"
"3","2022-08-20","3"
"5","2022-08-21","5"
"61","2022-08-22","61"
"1","2022-08-23","1"
