"country","IHR","TESSy"
"Spain",5162,4942
"Germany",2982,2982
"United Kingdom",2973,2974
"France",2423,2423
"Netherlands",959,959
"Portugal",710,616
"Italy",599,599
"Belgium",546,546
"Switzerland",335,328
"Austria",175,175
"Israel",166,135
"Denmark",126,126
"Sweden",123,123
"Ireland",101,101
"Poland",85,85
"Norway",66,65
"Hungary",51,51
"Greece",41,41
"Slovenia",40,40
"Luxembourg",34,34
"Malta",30,30
"Czechia",29,29
"Romania",28,28
"Serbia",23,0
"Finland",22,20
"Croatia",12,12
"Iceland",11,11
"Estonia",9,9
"Slovakia",8,6
"Gibraltar",5,0
"Bulgaria",4,4
"Andorra",4,4
"Latvia",3,3
"Cyprus",3,3
"Lithuania",3,3
"Bosnia and Herzegovina",1,1
"Georgia",1,1
"Russian Federation",1,0
"Turkey",1,0
"Montenegro",1,0
"Republic of Moldova",1,0
"Total",17897,17509
