"data","cases","cumulative","travel-related cases abroad","median_age","male","female"
"17/06/22",23,71,32,"35 (20-54)",70,1
"21/06/22",14,85,36,"37 (20-54)",84,1
"24/06/22",42,127,48,"45,5 (20-71)",125,2
"28/06/22",32,159,61,"36 (20-71)",157,2
"01/07/22",33,192,68,"36 (20-71)",190,2
"05/07/22",41,233,78,"37 (20-71)",231,2
"08/07/22",22,255,86,"37 (20-71)",253,2
"12/07/22",37,292,92,"37,5 (20-71)",290,2
"15/07/22",47,339,107,"37 (20-71)",337,2
"19/07/22",35,374,113,"37 (20-71)",372,2
"22/07/22",33,407,121,"37 (20-71)",405,2
"26/07/22",19,426,129,"37 (20-71)",424,2
"29/07/22",53,479,53,"37 (20-71)",476,3
"02/08/22",26,505,149,"37 (20-71)",501,4
"05/08/22",40,545,159,"38 (20-71)",540,5
"09/08/22",54,599,169,"37 (20-71)",590,9
"12/08/22",45,644,182,"37 (18-71)",634,10
"16/08/22",18,662,185,"37 (18-71)",652,10
"19/08/22",27,689,190,"37 (14-71)",679,10
"23/08/22",25,714,194,"37 (14-71)",704,10
"26/08/22",26,740,201,"37 (14-71)",730,10
"30/08/22",20,760,205,"37 (14-71)",749,11
"02/09/22",13,773,211,"37 (14-71)",762,11
"06/09/22",14,787,216,"37 (14-71)",776,11
"09/09/22",18,805,221,"37 (14-71)",794,11
"13/09/22",8,813,224,"37 (14-71)",802,11
"16/09/22",15,828,228,"37 (14-71)",817,11
"20/09/22",9,837,232,"37 (14-71)",826,11
"23/09/22",5,842,233,"37 (14-71)",831,11
"27/09/22",4,846,235,"37 (14-71)",835,11
"30/09/22",4,850,236,"37 (14-71)",839,11
"04/10/22",1,851,236,"37 (14-71)",840,11
