"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,5.42399271519118,1.79098976946481,3.13826864074184,3.22925446341968,4.31727679183258,4.83993902692542,6.71296583595228,8.96089154589317,9.32887817224855
"2",3,9,4.00140839197582,1.40937150421658,1.86668377726766,2.14014617881502,2.93620931884336,3.76540129207625,4.84387408195076,6.42772936191199,7.3337746890503
"3",4,10,4.03783267218619,1.48779206768949,1.7815360202706,2.0408886871082,2.96501048695408,3.79984831522388,4.86988199730756,6.81333346187942,7.61956356812469
"4",5,11,3.74037500802237,1.35685493444072,1.60882580080009,1.85400941284789,2.76600142553848,3.57455664185644,4.50281485528935,6.1963628149589,6.91961650458576
"5",6,12,3.851608353813,1.40766038338844,1.69720447527255,1.93898546494299,2.82027462543288,3.64754334576224,4.67013128761544,6.45369824308525,7.06307721703246
"6",7,13,3.55959630415967,1.37290511755647,1.51562062530228,1.71219520123454,2.56996010172184,3.34280032301431,4.32032028620653,6.15185171803451,6.81137529254838
"7",8,14,3.57473000659023,1.42579062007918,1.51405604514584,1.73525970516689,2.54750626289757,3.32378362952086,4.33860500965647,6.25417346891608,6.99114368442019
"8",9,15,2.89747629681426,1.21891713985327,1.20906278280339,1.37166662777615,2.03342280723028,2.66258723160698,3.50012024394981,5.2509394675904,5.94393385847453
"9",10,16,2.73971123232977,1.10750509899934,1.19312663772061,1.34746162912648,1.96756188072578,2.53788607197465,3.27207045372054,4.84366579213276,5.51057978083604
"10",11,17,2.38176194356263,0.93140296295386,1.07069520106653,1.21261552344354,1.73406255714607,2.21699967352778,2.83386722671412,4.12521292826334,4.68531059956609
"11",12,18,2.1035310334666,0.785513244370594,0.97325679950057,1.09707502680504,1.55936501477629,1.97417204041134,2.49354424341664,3.53669714804538,3.98596185119082
"12",13,19,1.71665609312654,0.612763474310774,0.79700574985584,0.897799263562228,1.28284761640985,1.62370583857091,2.04595457613493,2.83541129124311,3.1568000510781
"13",14,20,1.70906420892413,0.568479263311755,0.833436698853449,0.939644105089808,1.30753419050015,1.63255346501042,2.02052788603673,2.74059265664235,3.04424236259441
"14",15,21,1.70948524643423,0.529424573650094,0.862910340531067,0.967639449789524,1.33505538748254,1.64430251310298,2.01423741510644,2.66952977092825,2.9173272310336
