"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3,9,5.54324407856436,1.42438440872459,3.21375220410949,3.54811044056488,4.47045659030382,5.33290179234508,6.44743552644161,8.0576349357794,8.71598876093128
"3",4,10,4.85975456921983,1.31475955785239,2.73103229722971,3.00458462615289,3.88798871776453,4.70735430919277,5.66592583646192,7.22528202969954,7.83727979205837
"4",5,11,5.19505313595778,1.67735857355061,2.69502882281139,2.95909060723434,3.99240576165164,4.93893235059182,6.11462175490002,8.33060141254388,9.27313325375639
"5",6,12,5.25945659098015,1.75160237914154,2.48653620814381,2.76503043088625,3.9611067551684,5.08743521062383,6.3080423200086,8.42383874691708,9.18399363018165
"6",7,13,6.64518120851755,2.15352001282029,3.1535777227991,3.53755731888049,5.07831817877553,6.44071221661924,7.94882112915422,10.5232183277417,11.4340734546365
"7",8,14,7.14141053229955,2.3936344773667,3.39627068764952,3.74748057545326,5.38806447095152,6.84075479182367,8.58933643968022,11.4714602631211,12.6032837841429
"8",9,15,6.60832048529253,2.41008832464601,3.07242025727002,3.4189306030382,4.84181567181139,6.18013258084774,7.94908992010884,11.2206966545488,12.3056722910628
"9",10,16,5.55523709591681,2.12825837849163,2.60741701189957,2.88074450999742,4.04726714933546,5.1439108652346,6.60473022724429,9.62854295270183,10.8763409970747
"10",11,17,5.04720610501166,1.81234882170758,2.45802875528222,2.69950331893628,3.74848657727494,4.71586957416103,5.99549970292217,8.53439986445428,9.53098258644238
"11",12,18,4.38617321393477,1.47978617884239,2.21709115519004,2.42843077534289,3.33264842793316,4.13941687680365,5.17520049737092,7.20592206735816,7.95577663504759
"12",13,19,4.01080662628674,1.27947821322593,2.12019276347542,2.30064768858651,3.08744572808246,3.80045102250131,4.70562972597017,6.45300370435122,7.15389771828855
"13",14,20,3.54738740527928,1.06584145669978,1.94615474715135,2.11327241613813,2.79123869143691,3.37842087041422,4.11937153686827,5.58568704230584,6.13498891278191
"14",15,21,2.97968183153741,0.847254269603327,1.68834866226057,1.82547624293909,2.37069562735127,2.85250883238754,3.4485885171699,4.59075405709871,5.01580076107392
"15",16,22,2.86111725647587,0.759239684590828,1.70001027790693,1.82945730317779,2.31169945362852,2.75314231668513,3.28647720917057,4.29205255503519,4.66508249623113
"16",17,23,2.93137379978247,0.70994667572956,1.82994169868398,1.95304364760355,2.41967646703281,2.83579169368296,3.33207038877842,4.25786086512872,4.61834643930363
"17",18,24,2.81021654207054,0.633754113015337,1.81797223946671,1.92639871641247,2.35636136628536,2.72791472825946,3.17140022890566,3.98972462202208,4.28306684500015
"18",19,25,2.97141931984516,0.609478355185149,1.99108294092628,2.11436439006074,2.53640834012527,2.89853911071555,3.32916561949095,4.09028614771322,4.37727437612653
"19",20,26,2.92508029150723,0.562316796202378,1.99802292968859,2.11667842225019,2.52534228397799,2.86336877806345,3.2564832289987,3.95604748106173,4.20473180022564
"20",21,27,2.81723913065474,0.510653632528381,1.96026411811956,2.06797141327458,2.45640055326037,2.77095165781096,3.12356982491014,3.7421015018907,3.9690696034853
"21",22,28,2.83169951665132,0.491532224930323,1.98605752952376,2.0892857484382,2.48374657615214,2.79208174611664,3.13399494094163,3.70384988919146,3.90225822253011
"22",23,29,2.87898556897556,0.480297699842543,2.03298585927651,2.15118510704832,2.54364225008828,2.84691326149284,3.17859850258783,3.72915775346851,3.92623945325665
"23",24,30,2.61185712271527,0.438787898759148,1.82875981692547,1.93515986644276,2.30430698748125,2.58341310201283,2.89288901465805,3.37248830111006,3.54746850255707
"24",25,31,2.67602732383318,0.44788258655045,1.8701083016447,1.98017524144931,2.3641039787627,2.64822232803524,2.95878296837235,3.46315351373139,3.63084088457584
"25",26,32,2.5920377612157,0.432238972006285,1.8177939866378,1.92610225293493,2.28890798475312,2.56609716591476,2.86961385830031,3.35319039394472,3.51314609324346
"26",27,33,2.4649696884729,0.40872473664046,1.74222650596822,1.83489582508873,2.17801250362158,2.43534964430126,2.72830855958679,3.19072287821762,3.33272163921378
"27",28,34,2.4928094269866,0.407100392667574,1.77067664987697,1.86742576249096,2.20760137658802,2.46470548277695,2.75453151109586,3.21558887066708,3.35874288562212
