"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,7.77942893565305,2.09443503407454,4.51702877432682,4.79050610686224,6.12441098113024,7.63168835914446,9.13319056501166,11.8524906236847,12.1284460961484
"2",3,9,5.83192380843111,1.51513851986717,3.32025445412737,3.63267308498135,4.68792817253318,5.71144974888618,6.789513524926,8.46963843081888,9.0624297293346
"3",4,10,6.12494639033279,1.83696588684504,3.22489590463673,3.63878478479448,4.80453639170472,5.83265662209809,7.14451195602309,9.70277947423413,10.6217603574323
"4",5,11,7.74417626660038,2.50002731732449,3.81038404268094,4.13336516374682,5.79432783876061,7.55302119200173,9.33693380181905,12.1695856625813,13.0787476462918
"5",6,12,8.72209177380208,3.09325551885109,3.91141247359158,4.38898526342246,6.54907653034562,8.3419041612724,10.4840858752073,14.2770762475555,15.7764678149805
"6",7,13,8.2378464148913,3.09247427448797,3.39370992957219,3.86681601463612,6.02404321652351,7.85512146663391,10.0171225527599,13.9271123776684,15.4248625875462
"7",8,14,7.53426303428685,3.05241535717816,2.99706075813562,3.44143048271458,5.30534115661103,7.04122312802821,9.26794164831917,13.2553044193304,14.8276608176965
"8",9,15,6.55948045104768,3.04914256739033,2.57349902579334,2.9350231093517,4.42526569227779,5.90752500158901,8.01953850346969,12.2936809992497,14.1917435276318
"9",10,16,5.50353805897222,2.5127004229883,2.29837685039373,2.57952954694662,3.75247338897074,4.91407095919463,6.62271472920499,10.4448809380077,12.0533045224901
"10",11,17,4.64628338902798,2.12444652529982,2.05808520385266,2.2904319046193,3.23251106045934,4.14999590685574,5.47324329656102,8.73914119248764,10.1952526011653
"11",12,18,4.93367754297172,1.98176547403567,2.41723440368116,2.65798072606996,3.60081645929228,4.49211741900095,5.75943448817512,8.7756649933987,10.0777241349896
"12",13,19,4.33006609180035,1.53977033913585,2.30814890957851,2.50644795275771,3.2825698487799,4.00121383773177,4.99993109808652,7.33296012465618,8.29028980104663
"13",14,20,3.87611707831906,1.22530175958098,2.16827675249584,2.35675933389747,3.04103301371655,3.63127578420589,4.43902803052379,6.25357825599047,6.98445688259807
"14",15,21,3.51004797552721,0.995871867799834,2.07413346365707,2.2386027976882,2.82508240360702,3.33210086849239,3.99732925811585,5.40346986432824,6.01373822900037
"15",16,22,3.40377374038693,0.874570639187568,2.08447979231379,2.2474176341962,2.80395483457822,3.25699541065763,3.85121669885601,5.05673945220325,5.55448677084937
"16",17,23,3.57010826875164,0.834590572338675,2.25338241324752,2.4153817177698,2.99082391331394,3.44737834252882,4.01441706870836,5.13550913035512,5.5812158313733
"17",18,24,3.33746154640131,0.731338040460188,2.16219556656683,2.30850586735592,2.8319959220708,3.24699902719079,3.73506742424679,4.68431264913574,5.07898590685302
"18",19,25,3.00938304937035,0.628081415809441,1.96434196551264,2.10180488184268,2.57552372127924,2.93624297004927,3.36869036443583,4.16085248775948,4.48177420106368
"19",20,26,3.18944784454733,0.630576882336527,2.11745546079404,2.25961578657549,2.75413950937702,3.12677077491194,3.55970322930077,4.32171905090561,4.64345046939193
"20",21,27,3.17102893805613,0.609729098654337,2.12557653040514,2.26517086334453,2.74808266460983,3.11414604171632,3.53349500665819,4.27389557612435,4.54892591878874
"21",22,28,3.32988134642615,0.622391472232979,2.25619084635313,2.39684776855314,2.89621327200946,3.27353125873464,3.70199573516451,4.45831400831544,4.73512788827561
"22",23,29,3.1672791418352,0.58072931699765,2.15082258906404,2.29278334545897,2.76854661815453,3.11298175020299,3.51765893238121,4.2185786744872,4.46586068396349
"23",24,30,3.33868929020152,0.601202913276924,2.28032124029454,2.42482381957029,2.92175546894511,3.28442501263201,3.71049167820021,4.41988580981841,4.66994162153466
"24",25,31,3.23637227320791,0.576819362646281,2.20813556530142,2.36030999009291,2.84231830375028,3.18775930710476,3.58459731530969,4.27194515634807,4.51449370059002
"25",26,32,3.31414958984848,0.587452583781316,2.26234645390785,2.42179562134886,2.91301502820748,3.26704401303281,3.66963819416568,4.37038916875156,4.63338992552581
"26",27,33,3.10151804159388,0.552888316613867,2.10377142949407,2.25520033246164,2.72299624029638,3.0548027638744,3.4397362384447,4.09516532492869,4.32566808384408
"27",28,34,3.04944786789296,0.542050787393688,2.06779260880515,2.21094924062433,2.67661120807647,3.00671845905621,3.38349847459306,4.00872306757597,4.24563335692603
