"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,5.11674170783617,1.73276478180076,2.38421348271231,3.01877015129549,3.86148479456725,4.77493165713068,6.08178222654848,7.99602272778462,9.23984254898969
"2",3,9,4.00757890154054,1.47896837295701,1.77167282018775,2.03216055452771,2.97040675812433,3.79397668562099,4.75865740076266,6.74723005999166,7.5645619811222
"3",4,10,4.06190921124829,1.63543927843688,1.7482931815914,1.99497926703689,2.87901382282879,3.73522983856472,4.89286557542624,7.25304759891247,8.21503489429213
"4",5,11,4.36482336000474,1.70788901912321,1.95633432207242,2.2179535773974,3.14466951186628,4.0712969565103,5.25109544007696,7.48513726135755,8.43946746599265
"5",6,12,4.6690819238305,1.81594681033345,2.05296990918074,2.31065873468893,3.34450183202773,4.3487131706054,5.67710771538158,8.09949888305254,9.07538538937922
"6",7,13,4.25211601518184,1.70614800169413,1.8227540388271,2.05167266972852,3.0050495367519,3.95684823588437,5.17261112803582,7.42895533380134,8.28934390979241
"7",8,14,3.6069692720294,1.5984337338319,1.48748446694416,1.67332759444984,2.45932442886513,3.29028501871374,4.38791971012911,6.64531015817747,7.67329100868119
"8",9,15,3.63707333758466,1.59074886875825,1.5235535323673,1.7204153666768,2.49115435481776,3.30274819030825,4.41052430077178,6.77519878529895,7.68671363485254
"9",10,16,3.33794552840565,1.63548234773509,1.36582324687853,1.52950579408805,2.20436598518981,2.92338542275547,4.02408140144136,6.60208743228795,7.64498430101425
"10",11,17,2.89962437832296,1.35210482548643,1.24915814829464,1.39225983377362,1.95683386075121,2.5651383935162,3.46694483007102,5.57408150256445,6.44062987710589
"11",12,18,2.50219194279181,1.10207040071809,1.13976350621263,1.26164950237,1.75071541523954,2.24347944765128,2.97199641964115,4.6447415199914,5.30565691033883
"12",13,19,2.04732529972929,0.823522959166607,0.96104123577032,1.06299573703685,1.47219142686648,1.86717810404291,2.41925287111389,3.64587947351836,4.13486390188747
"13",14,20,1.59014715441565,0.607030587694187,0.748988058747651,0.833080542166197,1.16794594144473,1.47382416489665,1.88986570548872,2.7351857896456,3.08345717090485
"14",15,21,1.53186637288552,0.523214836611689,0.759460640523508,0.841842052393508,1.15927393851759,1.44783864462412,1.81157047830445,2.51481529992705,2.80141300486106
"15",16,22,1.22292357033456,0.417079229966706,0.597927289554709,0.668550329396998,0.926103214840496,1.15912430231623,1.44935392095755,1.99543495213789,2.20939968909081
"16",17,23,1.13596598023958,0.365613196871528,0.566666517983603,0.6314476305764,0.875837295977212,1.08610619662538,1.34014557822742,1.81290425794274,1.98944365911096
"17",18,24,0.99055331336658,0.312109240486752,0.48624092599713,0.54914982166119,0.767509705144262,0.952399059608676,1.17250539294653,1.5571934620082,1.69826180972289
"18",19,25,0.872349697391583,0.279005206513549,0.421410899637832,0.474646074281609,0.671984821060199,0.840359467690759,1.03921610640806,1.37706816624289,1.50077216563536
"19",20,26,0.845258726644602,0.263815616784508,0.417030876582127,0.469241038761164,0.655320082085671,0.815682073734733,1.00167776446084,1.32584004254492,1.44790203642516
"20",21,27,1.12699157911173,0.296924135840368,0.626442781897734,0.690460794271272,0.913309256498204,1.09994056794093,1.30647879294724,1.66600787676528,1.78679091126696
"21",22,28,1.04120708088877,0.283003211939409,0.564314856227199,0.628853218316718,0.839162702264983,1.01359130392022,1.21503805202436,1.54435666190156,1.67058812481116
