"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,4.00887178756089,1.24903838966949,2.0710045571627,2.25424332727388,3.05441688250442,3.89860560693472,4.78468832645907,6.3043754338519,6.57117315423264
"2",3,9,3.96988337342849,1.24978610055581,2.04774703547559,2.25690778390621,3.09796587980445,3.78930555257219,4.64681118981538,6.35191635772381,6.93160973021564
"3",4,10,4.10155216883254,1.41206230021993,1.98367058165929,2.21279590469982,3.11139642545213,3.88580035828527,4.86498282729178,6.71434333618369,7.56974570512467
"4",5,11,3.37395372303641,1.33167803118194,1.48849039579833,1.68499118817647,2.41714541221433,3.12701305868916,4.06383446568614,5.90614498363547,6.60297714110059
"5",6,12,2.83723050684879,1.13723007168594,1.21872059749907,1.37735972477041,2.01758711429362,2.6397287595113,3.43502475656777,5.00966697858515,5.62674071218511
"6",7,13,2.93245433005173,1.3404788218974,1.22169440485895,1.38038584512114,2.00566161876751,2.65099577093302,3.5313908865783,5.45149956405816,6.40454927413628
"7",8,14,2.77331043442235,1.30683232791547,1.10379323291147,1.24769139199973,1.8383960368944,2.46411379274097,3.38416244979568,5.35683651929073,6.07157389652973
"8",9,15,2.36049647500506,1.11263980920602,0.929434720570274,1.0582143776486,1.56162674923284,2.102740014909,2.88846349508017,4.54663625704847,5.1453603056113
"9",10,16,1.93403036988988,0.892304898789586,0.782060246669218,0.881059436945357,1.30139219220493,1.73917994058035,2.35668153024652,3.63546747419433,4.18268472980387
"10",11,17,2.13423408654651,0.922914121003525,0.962213708935607,1.07545108899576,1.51338119916765,1.93532144465742,2.53379629164046,3.85233744562481,4.41176921463307
"11",12,18,1.77089057731769,0.711431765271178,0.82952767071703,0.927613118983484,1.28953377537239,1.62911709848684,2.08817311165292,3.07239056713851,3.5574587573107
"12",13,19,2.04314937851896,0.676671302516658,1.08173895450066,1.18627186892903,1.57596525658838,1.92255923104354,2.37424352791396,3.28415442399454,3.7209441933891
"13",14,20,2.07749938964611,0.599459191900187,1.16059059729067,1.2722076368948,1.66026521722427,1.99390200674689,2.38922962253585,3.18620472387929,3.53163772803425
"14",15,21,2.51437377098592,0.607852486303346,1.54417836456172,1.66528867318298,2.08673705589478,2.43785951669934,2.85967736101735,3.63394631400888,3.92863214829955
"15",16,22,2.65017533133413,0.588847728126013,1.67457330583925,1.80373749072407,2.23754534597806,2.58592477683491,2.99634382373897,3.71598261256037,3.98111969311578
"16",17,23,2.50870091289529,0.54204551875791,1.59498972890189,1.71668190319601,2.12450349607994,2.45715151941203,2.8330199350332,3.47359106468058,3.71046076117694
"17",18,24,2.21372738691606,0.49376563837542,1.36802100286721,1.48567229280954,1.86126713040029,2.17091218246509,2.51904386437138,3.09367580194366,3.30524984090763
