"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,6.46270794058862,1.65321957166267,3.77092900710822,4.06572253512417,5.01770044685273,6.72346734938766,7.62344093752632,9.10124796931758,9.50306222702379
"2",3,9,6.93157230575223,2.13005646388548,3.86041941297292,4.1577253629963,5.52477038365766,6.6195356253476,8.0189807280759,10.9491925017273,11.7674034540993
"3",4,10,7.29667908874974,2.3487537557062,3.70645928262147,4.10740830222716,5.59733931981801,6.97220256384174,8.54221830317831,11.6544247107977,12.9046920984756
"4",5,11,6.72111915290219,2.27961128925073,3.19910012030167,3.6114112892072,5.03069652461991,6.39733999011864,8.10939904228073,10.9854168270147,11.8834968408212
"5",6,12,7.34004760752055,2.51408193603936,3.34706717959157,3.78971620719988,5.50654540966961,7.09402637939531,8.7922586822426,11.7793163854502,13.0084227105983
"6",7,13,8.41275960308579,3.0694334622516,3.74689414020587,4.22310876319155,6.18815392617805,7.97198894700884,10.1393946370238,14.0244077298608,15.4564174926803
"7",8,14,7.12630340176772,2.79835847465661,3.04110936752002,3.42389990220738,5.03750092654628,6.67712167058183,8.74590429647416,12.3431257926831,13.6744664671938
"8",9,15,5.16827426981289,2.20460340474117,2.12795183772841,2.40226867415582,3.56169038296776,4.71492882780398,6.33457263518918,9.4858537565336,10.6017987463155
"9",10,16,4.56380341472964,2.03127782930851,1.92005797280381,2.15865910734111,3.13352281457174,4.116085861727,5.53315868933807,8.38233555043175,9.54714574365637
"10",11,17,3.50233334084475,1.48032056985915,1.5576502172296,1.74615188413052,2.47626581405155,3.19289559298457,4.18177600897085,6.26927205151808,7.17861593569109
"11",12,18,3.08215214501641,1.21102534135144,1.49124118177099,1.64620897633797,2.25023871511447,2.83553043879638,3.64349213493813,5.3013585784158,6.01593118896567
"12",13,19,2.85713327027976,0.986586992270106,1.50883252044889,1.64483878634377,2.17241716939332,2.67233545411193,3.33501699426356,4.64024075174089,5.20976220196361
"13",14,20,2.52258090289967,0.777214230841103,1.41723896860592,1.53416473668982,1.97840179936252,2.39055175566009,2.91699964431554,3.92803331851745,4.34946834524022
"14",15,21,2.34751854760552,0.64668099868584,1.38656328971977,1.50332217918011,1.89419215557073,2.24539611353,2.68756535249147,3.52005573646672,3.87872152939072
"15",16,22,2.15194414204843,0.530872704905284,1.32946971668493,1.42293885307995,1.78118259200967,2.07897953680052,2.44114399787461,3.12554925706589,3.40151279362788
"16",17,23,1.89684432876948,0.443208051935047,1.19288918846887,1.27985882174221,1.58473450812564,1.84246580958535,2.14376957516201,2.6954070921961,2.91985344408073
"17",18,24,1.89800810932252,0.40258449709411,1.23126682493624,1.32063554183256,1.61380015958302,1.85851564273833,2.13550384464676,2.6155318642775,2.80697273111419
"18",19,25,2.10750772283235,0.399834736521827,1.43415539043338,1.52402419734883,1.82715342866695,2.0702278699199,2.34397624115204,2.82768625392981,2.99756579076502
"19",20,26,1.78759072412096,0.34024833799009,1.20688778828211,1.28098897997951,1.54657607177814,1.7593035912004,1.9966562581705,2.38786556918537,2.53052136840693
"20",21,27,1.72843609454489,0.31400484001467,1.18473471749457,1.2559025910491,1.50526335553182,1.70519679600266,1.92487620245173,2.27961417056889,2.40648000430364
"21",22,28,1.7994810167973,0.311299346409636,1.2514553750251,1.32694814836948,1.57730496156275,1.77888243873887,1.99560094625724,2.3422356110538,2.46049556262011
"22",23,29,1.93618471400696,0.312972695368366,1.38170888475954,1.45735240505394,1.7157635411698,1.91421088758459,2.13604902008165,2.48250821841911,2.61028862365088
"23",24,30,2.06267038141036,0.317766667067149,1.50038886901858,1.57689394285788,1.84068435520655,2.04501695112288,2.26036438816425,2.62062357132139,2.74421859025684
"24",25,31,2.24192734584483,0.325097743100705,1.65869147423949,1.74282095396048,2.01168818982725,2.22042767145213,2.45033639193293,2.80233453395573,2.93140231476157
"25",26,32,2.00202817583007,0.30097377625358,1.46396698334588,1.53522707146006,1.79033679905059,1.98348449828016,2.19461002225646,2.52739883640807,2.63903517290243
"26",27,33,1.93610072197876,0.29004178523546,1.41562030554075,1.48794584310318,1.7327032388201,1.92327303583531,2.12165826351454,2.43497575462064,2.54830628068459
"27",28,34,2.11163739398366,0.307837104942686,1.55342126333708,1.63169280741889,1.89714545730055,2.09592642906963,2.31031749566341,2.64429492778185,2.75327998677873
