"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,3.50924798164149,1.13720392252264,1.61574377670818,1.85950252773946,2.77047359852574,3.36170286858301,4.18242158868917,5.49381222747746,6.05424866205543
"2",3,9,3.18332969789965,1.19629813002723,1.37669766623128,1.61002752529406,2.36095593164577,3.00713716154329,3.78800472418877,5.35519078232093,5.99186264506227
"3",4,10,2.67304569356375,1.03830142386131,1.08371696587839,1.27521985054563,1.93032364790313,2.53393929772204,3.27174953838259,4.57419138210999,5.07516839621524
"4",5,11,2.27962622957541,0.997697404923757,0.868379293108074,1.00613365889942,1.55692777988603,2.09741142165568,2.81587176208528,4.1616189608936,4.72623423091232
"5",6,12,2.64238041103494,1.06194748644559,1.10225424875872,1.26702766599746,1.8797112465424,2.48295374232429,3.20042993917878,4.57222288919917,5.12270841631216
"6",7,13,2.55617770630298,1.09141651974922,1.02793651284003,1.18804662974383,1.7805303422084,2.35372264801848,3.10584916152643,4.64159519806324,5.27277804656396
"7",8,14,2.91119232743837,1.18364268960393,1.24349232861571,1.38922804596539,2.05970800629768,2.68593618172813,3.52442577312471,5.18188688600998,5.79004999390712
"8",9,15,2.88213215907967,1.15118327626937,1.27404045152521,1.42965454818115,2.06363444260508,2.67269280137047,3.47278940404999,5.0907536538288,5.74125211755995
"9",10,16,3.52558758849388,1.40322395191605,1.67565574718031,1.85460747249931,2.55466575857039,3.22522626160034,4.16064634001453,6.23016870651082,7.10904479377805
"10",11,17,3.22943858590152,1.27865295009241,1.5386201566667,1.69961987830621,2.34535209067851,2.96485577200402,3.80087609640657,5.71808048345154,6.55845475371153
"11",12,18,3.52965500281445,1.19662733055641,1.84220452340038,2.01575877364695,2.68618491247967,3.30913453922291,4.128485403853,5.79005164439853,6.48566405296279
"12",13,19,2.86257998215528,0.913063933635384,1.50722172762102,1.65343797573644,2.21171457042445,2.71333648895975,3.35617230994541,4.5859244851652,5.06530844205339
