"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,5.73409430166433,2.0124216438234,2.87503695763029,3.04877073538483,4.22219558214514,5.36851465533368,6.8945646401662,9.4584196996236,10.4342045054289
"2",3,9,4.64021362930517,1.47697002740577,2.33669275686187,2.60970437223522,3.55477565749334,4.45045598136188,5.49567134390499,7.36489112138475,8.02520451819116
"3",4,10,5.40965910697635,1.98054039653468,2.56583200429633,2.87042661685173,4.04846874681151,5.03362082847878,6.4132925862747,9.22129813597524,10.245471231785
"4",5,11,5.41821602382984,2.26054653746293,2.41175962766907,2.67544616906385,3.78865631731556,4.94117608537407,6.54475542545757,9.86107305922034,11.0725843534735
"5",6,12,5.87876999730766,2.23596083897657,2.6358724119426,2.88444107159673,4.17387797650811,5.53401488181311,7.2222176784875,9.99708744999292,10.8867202559956
"6",7,13,5.41629360407466,2.35649547413155,2.20051586710198,2.46605041512798,3.66279868960005,4.97716937415334,6.65987864005189,9.95620742221054,11.1990445124146
"7",8,14,4.62450982226308,2.23032907134451,1.78375023095537,2.00207001416918,2.99728409461436,4.14976518377439,5.72433528612947,8.82464509201184,10.1233180177968
"8",9,15,4.03335048638441,2.05082775070718,1.55964094947464,1.74198831427123,2.56777087000786,3.54270591182436,4.98601379431989,7.94254185071792,9.37289514549892
"9",10,16,3.6416670155829,1.86119485522972,1.44752559990573,1.60820912548967,2.32510792370458,3.16201651011633,4.44349247224522,7.38114175992892,8.57831850367897
"10",11,17,3.15191400016588,1.62325164079193,1.29901065238244,1.44090273314171,2.0236299328625,2.69968360970209,3.79077721483581,6.44341310441968,7.48400596999225
"11",12,18,3.11272725325131,1.45444002493948,1.44251246614085,1.56960643365961,2.12087921002656,2.72478140886466,3.68729627643761,5.97634493834192,6.89887033871644
"12",13,19,2.5534890766061,1.0497958780688,1.27770658930612,1.38984130806407,1.8257333989088,2.29269727326672,3.00183187981076,4.59971416670488,5.22875769483008
"13",14,20,3.14564906696385,1.07455698579561,1.76499107500081,1.88764194587805,2.38824417856765,2.89332330978997,3.64044024260421,5.29123232635644,5.86682666674459
"14",15,21,2.90508934353876,0.868954176689725,1.72444723638909,1.84567923844085,2.29220165977201,2.71878292609041,3.32927758872953,4.60866819057114,5.05783741587336
"15",16,22,2.72826930710516,0.728269126385625,1.67933722325462,1.79391837239214,2.2088003485193,2.59150454653675,3.1076226229263,4.12280834893454,4.5009501568679
"16",17,23,2.88361221484675,0.688590134217838,1.83072098285863,1.95536378656811,2.38995163095181,2.77327890994819,3.26815670084869,4.20014323370354,4.52156388546187
"17",18,24,3.07060404610855,0.67636261360974,1.98508030617046,2.11419433503048,2.58425719453602,2.9862282863195,3.46423494125685,4.32933557947521,4.61892603066164
"18",19,25,2.77619298525542,0.596300723389975,1.78695192344127,1.90409772061408,2.344312478251,2.71129338973474,3.13902441646098,3.86727406249255,4.10909026023998
"19",20,26,2.59374165726588,0.559733562062425,1.64754860818511,1.76323591326521,2.18668591749784,2.54518337121164,2.94676613485871,3.5982943228531,3.81637717552918
"20",21,27,2.28073722001165,0.496244380698756,1.43403382072822,1.53129174562062,1.91959329809378,2.24338449066287,2.59846044953499,3.15908424947255,3.35221334465043
"21",22,28,2.19913531693693,0.48372411026079,1.38244025937338,1.48008335359022,1.84107259434482,2.15708130778609,2.51874240414295,3.06573933085177,3.23097767479312
"22",23,29,2.14914279749562,0.473446181774674,1.36726158440456,1.4550003837952,1.79479571228312,2.10411859686988,2.45667486019913,2.99544242363148,3.16664842772452
"23",24,30,1.92408686565757,0.424785223355986,1.23679092055246,1.30814841865618,1.60783826871879,1.87064203211079,2.19874583521964,2.69179578480694,2.84803555961446
"24",25,31,1.82835141171317,0.392184332874358,1.20476175131521,1.27152193840158,1.53429689167125,1.78078124951919,2.07710725314323,2.54765192420675,2.69354315431457
"25",26,32,1.81926697086775,0.374087818803283,1.22922284813717,1.30300237149727,1.54586367859408,1.76729598863602,2.04517099322895,2.51866727347556,2.67195423727251
"26",27,33,1.78568426202246,0.347329560566954,1.23837872798276,1.30463578017007,1.53000139662948,1.73687197352756,1.99922479068859,2.43046396220533,2.56994640122503
"27",28,34,1.51898067282893,0.282249362228922,1.06345330364361,1.12145127443922,1.31591234992724,1.48429840088436,1.68626979095354,2.03662122778492,2.16841994139513
"28",29,35,1.33014082473177,0.237825090532729,0.942377712287016,0.99143885457857,1.16056530479224,1.30209699021399,1.47186168183669,1.76711573184761,1.86626484755703
"29",30,36,1.31736206112642,0.222668496489619,0.947386232402746,0.996533087621125,1.1571856198827,1.29229648775602,1.45323010859668,1.72649674665528,1.81664553432857
"30",31,37,1.18027843328513,0.189885649623174,0.859390833213026,0.902403570385592,1.0450023596076,1.16169636938653,1.29512208909264,1.52449354984638,1.60766831470316
"31",32,38,1.13679845064417,0.174669241529645,0.83844529708659,0.875866887122275,1.01293268648452,1.12166784871157,1.24384298147139,1.45005452088182,1.52092892323366
"32",33,39,1.12939007237823,0.162637593815414,0.845969134711295,0.884110243878398,1.01452187173048,1.11628151567946,1.22957817012129,1.41695770660597,1.48450289693818
"33",34,40,0.966159782294022,0.140595083897009,0.720150001438501,0.753476975883226,0.867760212826999,0.95620142619848,1.05432030203926,1.21556973701145,1.27048608234576
"34",35,41,0.975799638869703,0.134681716377791,0.735434479763931,0.768258752086811,0.881424517252781,0.968346413163772,1.06109934215897,1.20886952961215,1.26411063264521
"35",36,42,1.03640667450041,0.135275901788333,0.791292103101537,0.825872011031923,0.942600690119407,1.03025031975715,1.12301151557129,1.26877714848321,1.31939268773315
"36",37,43,0.931942601809582,0.125011757759056,0.703416761412082,0.737278794108802,0.844864105385633,0.926342984927925,1.01251009221614,1.14759340214299,1.19399335700704
"37",38,44,0.953565508682694,0.123779055939501,0.726538564170742,0.759037680814849,0.868005346321229,0.947923217588266,1.03374894639607,1.164203117261,1.21209357790627
"38",39,45,0.797143101389581,0.111874536105372,0.594618975051821,0.623941720414661,0.718183269307974,0.791749416724829,0.86909478187258,0.989440186287807,1.03116617814145
"39",40,46,0.873751308634672,0.118014653453208,0.658715997249335,0.690160658252151,0.790930492214407,0.868656621259059,0.950729487797415,1.07681960567464,1.11894920394941
"40",41,47,0.982760902551635,0.125897551957321,0.748963344094384,0.785450068277754,0.895170644316002,0.979025274273919,1.06440499826462,1.19770210764497,1.2450273283058
"41",42,48,0.926193412920462,0.121744009379586,0.702762963712321,0.735563127317648,0.841144512186023,0.920438109968237,1.00603461204213,1.13827045364962,1.181341659393
"42",43,49,0.995343007511505,0.12652160608196,0.763923188825152,0.797381836293905,0.906212766086264,0.990007872502662,1.07830848589605,1.21251997783109,1.25600646862546
"43",44,50,1.05213582414527,0.131418390452169,0.808031419684397,0.845938949405612,0.961294599379939,1.04600897064525,1.13820341985362,1.27630003886555,1.32440000098994
"44",45,51,0.996914703441084,0.127353827862019,0.765270172219452,0.797960024032349,0.907662843821487,0.991433010648906,1.07923470280447,1.214583181299,1.26057545633752
"45",46,52,0.988017913819516,0.126509434129327,0.75609162670954,0.788991732681393,0.899325993662993,0.982715044519907,1.0710550076883,1.20415738397017,1.25072438564798
"46",47,53,0.851167351246872,0.118755409703117,0.633832217763478,0.666875785942573,0.768115210290647,0.845897017929276,0.927429518919322,1.05580637559111,1.10091528265515
"47",48,54,0.807910217126724,0.11499113298816,0.596828923005097,0.62728929636086,0.72821855935876,0.802893255200108,0.881328220729195,1.00621721647301,1.04849444051951
"48",49,55,0.876910317266378,0.120604728696899,0.658953129143353,0.690232573970547,0.792933806268481,0.871337218681491,0.95365848573102,1.08520641681735,1.12835040266342
"49",50,56,0.751043846431115,0.111132380597623,0.550310046095497,0.578284745551163,0.673211276714912,0.745767583071956,0.82114727461617,0.942926576165822,0.984882565125333
"50",51,57,0.690738716057849,0.107410429108854,0.4969950651298,0.525240057719268,0.615264758579135,0.684569033135691,0.759980007774555,0.876139741710117,0.91673373738111
"51",52,58,0.77955422770096,0.115561254359057,0.571365648349217,0.599562009121399,0.698205489487817,0.772889226627261,0.854307708305567,0.979217228374668,1.02431114034102
"52",53,59,0.938104249527672,0.128598331643182,0.70346803603639,0.736047316620658,0.848262135907667,0.932176723441178,1.02217631538854,1.16007534039106,1.20546698945387
"53",54,60,0.881541179699461,0.1260811874839,0.653488689647142,0.685707478353849,0.794635786281222,0.874711790593067,0.961089464084003,1.10117822581308,1.14848902304532
"54",55,61,0.841641201700185,0.123907419392758,0.617131432753611,0.650272997905335,0.754612678640507,0.835380754884314,0.921431791007606,1.05547544951613,1.10198106451094
