"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3,9,3.51177244729719,1.32443214618971,1.43665946936641,1.7479932613316,2.60371038057255,3.2460682526385,4.26696059976327,5.89681282184377,6.37064354360103
"3",4,10,3.31914403472408,1.22363275631073,1.3990084059781,1.61786867661615,2.43811071191153,3.17501030964424,4.03371753279743,5.46811623381265,6.09754533340066
"4",5,11,3.21883489947123,1.29229795181606,1.28969805216257,1.49406252710101,2.29932671396234,3.01212996178845,3.92405328567057,5.56462974878488,6.32236110377411
"5",6,12,3.05083156631041,1.26453447226342,1.14734592170339,1.36845218752901,2.13290228608582,2.86277890770038,3.72632177566895,5.43130238977758,6.14811037228008
"6",7,13,2.83289361803977,1.15938788761928,1.09651404150184,1.28563696728773,1.99218040176272,2.66084993517529,3.48131920700143,4.9649631331002,5.55051030462299
"7",8,14,2.93643525642114,1.19153047351572,1.16912253631856,1.36689549060529,2.07516384464966,2.7418473606032,3.59289148103357,5.19822464988474,5.76831358665144
"8",9,15,3.49429023814841,1.30990390598389,1.57388189859699,1.77636622241481,2.55952868747547,3.28023237197993,4.19513760800833,5.9185404536968,6.64475343387464
"9",10,16,3.33401889309247,1.1809748297957,1.57913931966988,1.76887810481948,2.48858542844867,3.1435620368677,3.9669920998592,5.52299957816044,6.17838733164524
"10",11,17,3.16898662985763,1.05385463370576,1.57726327835337,1.76906827890342,2.42175990993132,3.00626189464607,3.74885276014163,5.12494557717814,5.64850682309528
"11",12,18,2.83337308976091,0.889592659302779,1.44745482512161,1.60304411449396,2.19848431169498,2.71469998746038,3.34056177930825,4.46356479705691,4.89476290934584
"12",13,19,2.57559186987863,0.787284840538801,1.30942707772759,1.44740919969066,2.01331585278958,2.48283032735392,3.04451807639303,3.99117520598025,4.38817766558503
"13",14,20,2.34294960845551,0.702852470787072,1.2000824422216,1.34148792865915,1.84077849435935,2.2634218153865,2.76149710303129,3.60802425308315,3.92555954256571
"14",15,21,2.14853872241065,0.638912779009008,1.10974013353778,1.23229096675992,1.69156436888632,2.07237966291239,2.52486155509114,3.31220142583577,3.58050416508561
"15",16,22,1.70252834384265,0.530398374628653,0.844848108494338,0.945863945723384,1.32653322733289,1.64368032955197,2.0108098610789,2.66811218644464,2.92165069342573
"16",17,23,1.4287254585551,0.461711191835656,0.685529196757866,0.775476103098583,1.09529207906815,1.37397122045338,1.70071044252847,2.26487231552673,2.47340390663437
"17",18,24,1.20530031687242,0.405902383239301,0.557052373461667,0.633726871804369,0.912709549166366,1.15561492736542,1.44177156577996,1.94975945574777,2.14030865414923
"18",19,25,1.23699802085724,0.395422979555938,0.592495409864938,0.67320176986969,0.953858963526232,1.1912891942399,1.4726378484468,1.96146272447148,2.13421516411121
"19",20,26,1.16971406285878,0.369963355393614,0.569907839719225,0.644406666404536,0.90680673043628,1.12567727528419,1.38778200334639,1.83771270692353,2.0091350867208
"20",21,27,1.11501302576981,0.346618044268915,0.545158406772234,0.616489617363173,0.866569575209991,1.07779168541487,1.32635892254583,1.74127701247278,1.89522095214127
"21",22,28,0.971568925756781,0.313995690997423,0.46213226340106,0.523249074216633,0.746324914448013,0.935425690742666,1.15726309550984,1.54129882019459,1.67925013552706
