"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,5.77356782127586,1.95672277726498,3.0010850902564,3.21306254254402,4.50505773334544,5.34514508725405,6.63066930153805,9.60213688102552,10.5788003845126
"2",3,9,4.96867172096461,1.50189731574739,2.37295387939994,2.64900800910625,3.89476892384585,4.82139142051723,5.8989100825179,7.56964518338881,7.90494315383734
"3",4,10,5.23287613050493,1.58483121999629,2.59969116002857,2.89639033496976,4.0946125852272,5.08117008507571,6.21561932355899,8.05887366204571,8.79327205329181
"4",5,11,5.08517710475134,1.57255288091868,2.51377282174369,2.79910213550746,3.98035333261754,4.91381149558775,5.99802668970372,7.91715818572242,8.78359355934179
"5",6,12,5.26872691387092,1.6884964444546,2.58694696737955,2.89515712312297,4.03045694775662,5.0741692829295,6.26282442138541,8.36880764576697,9.16529587882456
"6",7,13,5.62032457005072,1.9895326411563,2.69001857430565,2.99717933702227,4.17997400951044,5.28687700297657,6.71512497894574,9.39025772044361,10.4244857443069
"7",8,14,6.27511554773241,2.31298127991598,3.00423530232275,3.33547424247383,4.57145704899554,5.84230365949809,7.56484442944557,10.5655910522082,11.8261405349596
"8",9,15,5.660795863539,2.18746616100245,2.74479641854978,3.00853771719749,4.05585288735119,5.19469284902328,6.78463348530413,9.90225892115576,11.1161094359203
"9",10,16,5.04211412577938,2.10419808065649,2.470432887748,2.71188166417954,3.61518880511845,4.54478573527769,5.9090690031613,9.05250116450442,10.4821297977274
"10",11,17,5.06824183841403,1.98228515348216,2.61528286676848,2.84771469880597,3.72075260163879,4.61768207656875,5.88204659086074,8.83407525347786,10.2574967792822
"11",12,18,4.76086182968424,1.66109967447596,2.57626404744323,2.7952862940251,3.62048972683959,4.40794317723229,5.49966199587102,7.92658443636451,9.05922413644085
"12",13,19,4.22268364878393,1.33941862467259,2.37097499538808,2.56566763325971,3.28331117248566,3.96882455458353,4.86669549187806,6.76873886248721,7.60627345942529
"13",14,20,3.7251823123954,1.09892450069848,2.14136371787943,2.32296288612064,2.95115526104249,3.52881781154529,4.28418262188947,5.81557493072529,6.47669677216439
"14",15,21,3.71435817537162,1.02903108592829,2.21313246766351,2.37246670686975,2.97804619428265,3.53769766599171,4.25755726713888,5.67867812958761,6.27832314587489
"15",16,22,3.45046629339697,0.90201090893117,2.10529895536486,2.25694021586579,2.80316652328438,3.30905780955819,3.93858355106046,5.14475618976942,5.64660504958017
"16",17,23,3.47873162948311,0.865028576989524,2.18169241544305,2.33106073771486,2.84595366183085,3.3444404211063,3.95757007227837,5.12061534077228,5.57654834261897
"17",18,24,3.36716160858009,0.796302347419726,2.15830086527751,2.29108890964082,2.79274392105399,3.24148428524852,3.8101404539201,4.88920603064708,5.28395245021247
"18",19,25,3.10827324901165,0.704036496136036,2.0260347137033,2.14940919459334,2.60428591390318,3.00691443022382,3.4952103271665,4.44365031619049,4.77198576241596
"19",20,26,2.82386803291522,0.614950312093843,1.86784347441026,1.98611107932092,2.38255280801777,2.73856040537204,3.16819505562608,3.98414103482053,4.28030267068138
"20",21,27,2.93064562645304,0.61072141145551,1.97035796619181,2.08815151957784,2.49177963167885,2.84538258737938,3.2787359553415,4.07856166534257,4.37019568088648
"21",22,28,2.42485678939356,0.494511649244591,1.64423527480536,1.73359446581862,2.07051473300507,2.36264360463168,2.707289748815,3.34426480785564,3.58516003128672
"22",23,29,2.26700590392637,0.447465045657458,1.55981100320522,1.6425549885842,1.94486488562817,2.20940452893512,2.52867919783806,3.09707431494611,3.3083492852609
