"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3,9,5.46421974797373,1.93269586640216,2.49111308488997,2.82348393345156,4.0183932386835,5.23070312915405,6.46785764893948,8.93348722662236,10.1762018190286
"3",4,10,4.76525846545887,1.59166215420269,2.28780135764808,2.54508812463356,3.62260051610147,4.53989947897424,5.70152700129129,7.84575823746586,8.61270457186736
"4",5,11,4.94159190587327,1.70003585111475,2.33279520694387,2.61005283984093,3.71256476184282,4.710213626351,5.93742684105352,8.0667884630394,8.96257686965476
"5",6,12,5.28485951515454,1.79746218578016,2.44942998557099,2.75933254275334,3.9716270931281,5.07850495360692,6.35039469451871,8.56318157686758,9.35695696159806
"6",7,13,5.78308645168604,1.96373965051258,2.70718197354277,3.03485003216011,4.33670261797677,5.54427828085361,6.96273955814976,9.39329895140292,10.254962888376
"7",8,14,5.72909116104819,2.07851750584714,2.64644616523762,2.95461309311593,4.23446054740891,5.39656485609081,6.8796450882908,9.64899220329241,10.6800478973096
"8",9,15,5.21452890635031,1.99615156463244,2.42043041861803,2.70136614610701,3.78234833445039,4.84625296226755,6.23021801605705,9.06066387521086,10.1912009613344
"9",10,16,4.22649957263122,1.71656499505018,1.93972656962951,2.16362950538702,3.04223059051781,3.87256749664339,5.01703960126103,7.52723720293199,8.63800203671063
"10",11,17,4.03582409109489,1.49122042610336,1.97648748761951,2.18797919302903,2.99762701911479,3.73994289862998,4.75868603914566,6.89776165018786,7.78106348486936
"11",12,18,4.13740264760388,1.38420581541563,2.1588648453438,2.37744440457275,3.15838090505283,3.89347725342896,4.82452312125742,6.81309390255649,7.6105611346445
"12",13,19,3.41069752432437,1.07709823468518,1.83678193728701,2.01088005377135,2.64903225078848,3.22520533061164,3.97064564965333,5.45549820615872,6.02970618754099
"13",14,20,3.17385779188675,0.939300654014145,1.76959074721317,1.9224026467078,2.50259400303925,3.0240174807996,3.68352682171977,4.93806432645288,5.44218251630167
"14",15,21,2.77872225276002,0.774795102321414,1.60060717377036,1.74291226115049,2.2218552959357,2.6612168129049,3.2064102750211,4.22568178653762,4.62506506743814
"15",16,22,2.37367126898033,0.637387157018093,1.37510555062289,1.50115547747263,1.91942205472493,2.28457041022465,2.73098338640944,3.55500829051133,3.86941999659993
"16",17,23,2.19231464507685,0.558753268341483,1.30068162713689,1.40493618244911,1.79233424697037,2.12203098587542,2.5221615714249,3.21347120909607,3.46383965063661
"17",18,24,2.0452471844692,0.501714495937139,1.23727608029431,1.33881428168627,1.68874383114792,1.98152739977215,2.3359645818463,2.96987586057327,3.20445861428261
"18",19,25,1.55128007613585,0.382030752143009,0.925882180447125,1.00430052120692,1.27981248272502,1.50593192741024,1.77438054799204,2.24849919347063,2.4221064242492
"19",20,26,1.4825188189086,0.352512312145603,0.905267488841743,0.977090179920371,1.23420193203749,1.44536822498348,1.68790376359345,2.1201206294333,2.28072571854036
"20",21,27,1.47839885721158,0.329810568221016,0.929919360055338,1.00078984946451,1.24588160148483,1.44563000030606,1.67384404561832,2.06871797853793,2.22587340458671
"21",22,28,1.58199620877334,0.322527269801272,1.03224825229042,1.10506059129852,1.35393393686109,1.55103010521662,1.77814044541521,2.15791113201482,2.29571981277235
"22",23,29,1.72941599977911,0.321143752059447,1.17356327369518,1.24783231217283,1.50201721218226,1.70424522141995,1.92619788558718,2.30124691245077,2.43765345199532
"23",24,30,1.69020680261267,0.298684477655722,1.17181540428061,1.24276661845071,1.47748124366321,1.66915215254201,1.87730621311155,2.2126227502396,2.3348895916031
