"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,4.55578588338519,1.29591274619718,2.48924436961922,2.65327133317036,3.72153569612665,4.43963117810626,5.18582203344901,6.78778915270876,7.16860110053724
"2",3,9,6.34909307596993,1.77174105740588,3.70911233194355,3.8733077386909,5.03067197864542,6.1137253774423,7.50149810904791,9.40929444415053,9.98147113261922
"3",4,10,7.33005454388682,2.17911983968635,3.82080784975068,4.18381289277519,5.71457561777628,7.07522749804901,8.65966721399625,11.2772059518055,12.2727555975681
"4",5,11,7.77018897150543,2.50702599244744,3.98831529361767,4.35638675079185,6.0190887049997,7.36937459801193,9.12590239607943,12.4802101019076,13.9656040416912
"5",6,12,7.41705689543043,2.66127329983154,3.40808987629651,3.79844990593841,5.46298511768914,7.0083326921912,8.98926290111796,12.4104733127829,13.7300383240315
"6",7,13,7.58265587031979,2.9234682355818,3.2541798114175,3.64262451395851,5.39021527295775,7.1897517948016,9.27386193667536,12.9096944567875,14.3683932186098
"7",8,14,6.5433053476984,2.71595820812044,2.66037837827253,3.00619062583374,4.5351160210177,6.11113646443408,8.03495071528898,11.5678696685205,12.8934619793986
"8",9,15,6.77079209481699,2.86978739951649,2.8547294282998,3.16160086771161,4.66645495303983,6.22930102283329,8.29905365476671,12.2381193964025,13.6658950706881
"9",10,16,5.32518497541743,2.46802055321527,2.27082091245395,2.52410607420261,3.61058734320217,4.76248316018259,6.38575846101354,10.1669660108185,11.9309609804063
"10",11,17,4.53580253229927,2.06205040967901,2.04957340741396,2.26818643145251,3.16438065790816,4.05859134687253,5.30744257906685,8.57466718941563,10.0676115247862
"11",12,18,3.74267144545497,1.51507407512133,1.83670530440222,2.00315762805049,2.71412157717319,3.41833638051181,4.35745876006821,6.66745421462259,7.76916147088168
"12",13,19,3.70121844088493,1.31754030773223,1.99002362029481,2.14808693318135,2.79208947508792,3.42963096732521,4.2825771472969,6.261084769912,7.16123640529028
"13",14,20,3.57390340305451,1.12282325497732,2.05419098948146,2.20447786080917,2.79976965691141,3.35899030679753,4.08630253342212,5.75002749688187,6.42109591268293
"14",15,21,3.63364745200759,1.01832360513916,2.21527317485795,2.35970318561182,2.92053509542884,3.44479663422532,4.11962188433799,5.62750856585415,6.22274163774959
"15",16,22,3.5192922979367,0.884032793865084,2.23080444950119,2.36977145661516,2.905202050165,3.3712391972717,3.96320037348413,5.19956161909499,5.72338765950049
"16",17,23,3.54394234633098,0.801955696272777,2.31900982754211,2.45710523494993,2.98125278601331,3.43034567137215,3.9676448571345,5.07285382401607,5.48785174479772
"17",18,24,3.46894927362292,0.729200593505987,2.29842068452782,2.43458043615422,2.95662647464421,3.38488615887515,3.87410799178332,4.8324196689373,5.19631609400571
"18",19,25,3.38939409805953,0.68257916043524,2.27236302451816,2.41125705053968,2.90264752666182,3.32381177988845,3.78466411969931,4.64043625344008,4.96601317917493
"19",20,26,3.29860818628551,0.652337366583239,2.1845136238796,2.3312933828197,2.84366830225349,3.24336514796381,3.68370942657493,4.4906233530437,4.8031150813795
"20",21,27,3.05659441248012,0.599249078421293,2.03387495790756,2.15383728326337,2.62785077261504,3.00986817794635,3.41739473749737,4.14644858938553,4.38568205851856
"21",22,28,2.75229894684752,0.546683306048402,1.82582545559006,1.93997331428268,2.36217462070212,2.70771932821031,3.08490288041723,3.73308057441649,3.97684777357337
"22",23,29,2.63747340340355,0.524844941517335,1.75347757883427,1.8583015856027,2.26242270459906,2.59217931772493,2.95939014786886,3.59029116570003,3.82119946069585
"23",24,30,2.519110087134,0.490014399176489,1.70724002151254,1.80425806895701,2.17104934021527,2.46905043053957,2.8147939768449,3.41785901256768,3.62485439853998
"24",25,31,2.34887727822107,0.447343877573966,1.61476667730887,1.70235949028675,2.02743019982354,2.3028477402725,2.61403266109292,3.17614155322987,3.37104422122002
